"Country or Area","SNA93 Table Code","Sub Group","Item","SNA93 Item Code","Year","Series","Currency","SNA System","Fiscal Year Type","Value","Value Footnotes"
"Bulgaria","3.2","Individual consumption expenditure of households","Health","06","2010","300","lev (re-denom. 1:1000)","1993","Western calendar year","2008084000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Transport","07","2010","1000","lev","2008","Western calendar year","8138000000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Transport","07","2010","300","lev (re-denom. 1:1000)","1993","Western calendar year","8010446000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Communication","08","2010","1000","lev","2008","Western calendar year","2812900000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Communication","08","2010","300","lev (re-denom. 1:1000)","1993","Western calendar year","2709710000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Recreation and culture","09","2010","1000","lev","2008","Western calendar year","3884800000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Recreation and culture","09","2010","300","lev (re-denom. 1:1000)","1993","Western calendar year","3742290000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Education","10","2010","1000","lev","2008","Western calendar year","432200000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Education","10","2010","300","lev (re-denom. 1:1000)","1993","Western calendar year","425858000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Restaurants and hotels","11","2010","1000","lev","2008","Western calendar year","3057000000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Restaurants and hotels","11","2010","300","lev (re-denom. 1:1000)","1993","Western calendar year","2944891000",""
